id,molecular_weight,exact_mass,inchikey
18147,62.4980,61.992327803,BZHJMEDXRYGGRV-UHFFFAOYSA-N
188193,147.4310,145.945683281,CFXQEHVMCRXUSD-UHFFFAOYSA-N
18172,165.8330,163.875410828,CYTYCFOTNPOANT-UHFFFAOYSA-N
346622,215.8800,213.891060900,GBDZXPJXOMHESU-UHFFFAOYSA-N
356718,137.0200,135.988763000,HLVFKOKELQSXIQ-UHFFFAOYSA-N
356640,229.9430,227.914926000,IBODDUNKEPPBKW-UHFFFAOYSA-N
18093,106.9490,105.941812743,INLLPKCGLOXCIV-UHFFFAOYSA-N
20387,96.9430,95.953355478,KFUSEUYYWQURPO-OWOJBTEDSA-N
20580,96.9430,95.953355478,KFUSEUYYWQURPO-UPHRSURJSA-N
352015,127.0100,126.000305700,KJDRSWPQXHESDQ-UHFFFAOYSA-N
351102,112.9800,111.984655600,KNKRKFALVUDBJE-UHFFFAOYSA-N
351235,90.5500,90.023627900,OHXAOPZTJOUYKM-UHFFFAOYSA-N
18174,187.8610,185.867975422,PAAZPARNPHGIKF-UHFFFAOYSA-N
354595,215.9160,213.899276000,ULTHEAFYOOPTTB-UHFFFAOYSA-N
89444,110.9700,109.969005542,UOORRWUZONOOLO-OWOJBTEDSA-N
8580,98.9590,97.969005542,WSLDOOZREJYCGB-UHFFFAOYSA-N
18776,201.8880,199.883625486,XFNJYAKDBJUJAJ-UHFFFAOYSA-N
18157,131.3880,129.914383153,XSTXAVWGXDQKEL-UHFFFAOYSA-N
185703,112.9860,111.984655606,YHRUOJUYPBUZOS-UHFFFAOYSA-N
18795,110.9700,109.969005542,ZAIDIVBQUMFXEC-UHFFFAOYSA-N
